plant,soil,temperature,humidity,rainfall,season,suitable
ashwagandha,sandy,31.47583342585424,79.5898543212814,39.20124179861563,monsoon,1
turmeric,clay,18.991228275106213,81.07933220718454,163.38003147996557,winter,0
amla,clay,15.175855458824717,87.39862795799125,161.7926485323045,monsoon,0
bael,clay,14.48876270456409,70.5326007076796,36.93673034179759,winter,0
brahmi,clay,40.17481060226402,23.362071736726918,238.9038595954218,winter,0
aloe_vera,loamy,37.947875989069885,65.02129868024568,177.98911747664405,summer,0
brahmi,sandy,13.353391248330052,20.664004560583294,187.73887130401377,summer,0
turmeric,loamy,18.94452597821926,24.221586098974853,89.61484919528714,monsoon,1
tulsi,loamy,37.86819790211063,73.23749277695457,46.134012612556496,winter,1
tulsi,loamy,27.124222347150877,58.38661146057333,202.29257009915347,monsoon,1
lemongrass,loamy,24.772383715843215,53.913833564685625,204.2077008528778,summer,1
bael,loamy,31.782098120549737,37.09161055245947,91.29373547988281,monsoon,1
tulsi,sandy,25.250518080417116,49.599043425762275,172.96376634197875,summer,0
lemongrass,sandy,14.22279641237455,23.112664395035715,29.312214839576054,winter,0
lemongrass,clay,39.00869326572839,77.16406363786963,98.4482708928,monsoon,1
lemongrass,loamy,29.968907957896935,59.205756565236484,143.64349395305084,monsoon,1
aloe_vera,clay,38.3172651003555,34.38430696271497,242.1823572150389,summer,0
lemongrass,clay,12.500801870958892,68.18096367865905,97.34132431995626,winter,1
amla,loamy,14.269644180840585,74.30635164378249,107.14823259625669,summer,1
ashwagandha,clay,29.934169457634276,56.86906186674702,235.2355338821343,monsoon,0
tulsi,loamy,20.180178126402907,54.38007313268287,175.77372330694206,summer,1
brahmi,clay,15.730602113231395,85.1095232590333,190.4999190596669,monsoon,1
turmeric,clay,44.39119667605107,85.02151363930103,241.96404524225417,winter,0
giloy,sandy,38.97417012664767,25.102053315972043,244.56119910990822,summer,0
bael,clay,28.148440733342095,44.74055619065531,108.88300892335862,winter,1
ashwagandha,loamy,40.9790565683772,79.25177837489939,32.48976705402257,winter,0
giloy,loamy,30.322198662289228,58.696216366203224,134.9224593194963,winter,0
bael,loamy,42.327395182632245,26.12394962697827,39.07235432597746,summer,1
bael,sandy,38.35073177461635,89.09462059658684,218.24096160178667,summer,1
ashwagandha,clay,30.903614601135544,49.13893999893294,171.8501081631276,monsoon,0
turmeric,clay,26.505056777467388,37.014490813113504,18.749684881925575,monsoon,1
brahmi,loamy,19.774621098514125,28.2558024029688,47.25952818161113,monsoon,0
brahmi,clay,33.191826370688084,39.75179776055877,37.10001623055655,summer,0
tulsi,loamy,19.003000737376894,70.25970443645238,32.844535134263154,monsoon,1
